month,month_name,normal_precipitation_mm,probability_below_80pct_normal,probability_below_60pct_normal,moderate_probability_ci95_low,moderate_probability_ci95_high
1,Jan,48.6949577331543,0.6,0.6,0.23071993220883708,0.8823817688407467
2,Feb,62.29928207397461,0.8,0.4,0.3755282641185388,0.9637768390302125
3,Mar,85.75037384033203,0.4,0.4,0.1176182311592533,0.769280067791163
4,Apr,72.52458190917969,1.0,1.0,0.5655085052479191,1.0
5,May,36.13238525390625,0.6,0.4,0.23071993220883708,0.8823817688407467
6,Jun,3.1907763481140137,0.6,0.6,0.23071993220883708,0.8823817688407467
7,Jul,0.13700231909751892,0.8,0.8,0.3755282641185388,0.9637768390302125
8,Aug,0.08850650489330292,0.8,0.8,0.3755282641185388,0.9637768390302125
9,Sep,0.8439264297485352,0.6,0.6,0.23071993220883708,0.8823817688407467
10,Oct,18.328954696655273,0.4,0.4,0.1176182311592533,0.769280067791163
11,Nov,40.49064254760742,0.6,0.6,0.23071993220883708,0.8823817688407467
12,Dec,52.785400390625,0.8,0.0,0.3755282641185388,0.9637768390302125
